壁垒机械	bi lei ji xie
朝鲜大冷面	chao xian da leng mian
朝鲜大妈	chao xian da ma
朝鲜大叶芹	chao xian da ye qin
朝鲜单爪鳃金龟	chao xian dan zhua sai jin gui
朝鲜淡翅盲蝽	chao xian dan chi mang chun
朝鲜当归	chao xian dang gui
朝鲜地瓜苗	chao xian di gua miao
朝鲜丁香	chao xian ding xiang
朝鲜顶冰花	chao xian ding bing hua
朝鲜椴斑蚜	chao xian duan ban ya
朝鲜短脉姬蜂	chao xian duan mai ji feng
朝鲜队	chao xian dui
朝鲜盾脸姬蜂	chao xian dun lian ji feng
朝鲜蛾眉蕨	chao xian e mei jue
朝鲜饭店	chao xian fan dian
朝鲜风味	chao xian feng wei
朝鲜风味馆	chao xian feng wei guan
朝鲜佛教	chao xian fo jiao
朝鲜佛教通史	chao xian fo jiao tong shi
朝鲜服装男	chao xian fu zhuang nan
朝鲜赋	chao xian fu
朝鲜甘蔗金龟	chao xian gan zhe jin gui
朝鲜革蜱	chao xian ge pi
朝鲜梗天牛	chao xian geng tian niu
朝鲜勾天牛	chao xian gou tian niu
朝鲜沟姬蜂	chao xian gou ji feng
朝鲜狗	chao xian gou
朝鲜狗肉	chao xian gou rou
朝鲜狗肉馆	chao xian gou rou guan
朝鲜狗肉冷面馆	chao xian gou rou leng mian guan
朝鲜狗舌草	chao xian gou she cao
朝鲜管扁蚜	chao xian guan bian ya
朝鲜管巢蛛	chao xian guan chao zhu
朝鲜鱥	chao xian gui
朝鲜国家开发银行	chao xian guo jia kai fa yin hang
朝鲜果蝽	chao xian guo chun
朝鲜赫氏筒天牛	chao xian he shi tong tian niu
朝鲜黑背鸣蝉	chao xian hei bei ming chan
朝鲜黑金龟子	chao xian hei jin gui zi
朝鲜黑鳃金龟	chao xian hei sai jin gui
朝鲜红颈天牛	chao xian hong jing tian niu
朝鲜红参	chao xian hong shen
朝鲜红参别直参	chao xian hong shen bie zhi can
朝鲜华千里光	chao xian hua qian li guang
朝鲜花蝇	chao xian hua ying
朝鲜槐	chao xian huai
朝鲜环蛱蝶	chao xian huan jia die
朝鲜环蛱蝶四明亚种	chao xian huan jia die si ming ya zhong
朝鲜环蛱蝶台湾亚种	chao xian huan jia die tai wan ya zhong
朝鲜环蛱蝶指名亚种	chao xian huan jia die zhi ming ya zhong
朝鲜黄胡蜂	chao xian huang hu feng
朝鲜黄胡蜂指名亚种	chao xian huang hu feng zhi ming ya zhong
朝鲜黄梅	chao xian huang mei
朝鲜黄鳃金龟	chao xian huang sai jin gui
朝鲜黄杨	chao xian huang yang
朝鲜茴芹	chao xian hui qin
朝鲜辉石	chao xian hui shi
朝鲜蓟	chao xian ji
朝鲜蓟富贵菜	chao xian ji fu gui cai
朝鲜蓟亚之竹心蔬菜罐头	chao xian ji ya zhi zhu xin shu cai guan tou
朝鲜荚蒾	chao xian jia mi
朝鲜健天牛	chao xian jian tian niu
朝鲜碱茅	chao xian jian mao
朝鲜介蕨	chao xian jie jue
朝鲜接骨木	chao xian jie gu mu
朝鲜结缕草	chao xian jie lv cao
朝鲜节腹泥蜂	chao xian jie fu ni feng
朝鲜街	chao xian jie
朝鲜堇菜	chao xian jin cai
朝鲜近狂蛛	chao xian jin kuang zhu
朝鲜锦带花	chao xian jin dai hua
朝鲜胫鬃跳甲	chao xian jing zong tiao jia
朝鲜酒店	chao xian jiu dian
朝鲜韭	chao xian jiu
朝鲜菌果蝇	chao xian jun guo ying
朝鲜开城参业有限公司	chao xian kai cheng can ye you xian gong si
朝鲜坎皮实蝇	chao xian kan pi shi ying
朝鲜库蠓	chao xian ku meng
朝鲜阔跗茧蜂	chao xian kuo fu jian feng
朝鲜梾木	chao xian lai mu
朝鲜梾木枝	chao xian lai mu zhi
朝鲜癞蛎蚧	chao xian lai li jie
朝鲜狼逍遥蛛	chao xian lang xiao yao zhu
朝鲜老鹳草	chao xian lao guan cao
朝鲜冷	chao xian leng
朝鲜冷面	chao xian leng mian
朝鲜冷面店	chao xian leng mian dian
朝鲜冷面狗肉馆	chao xian leng mian gou rou guan
朝鲜冷面馆	chao xian leng mian guan
朝鲜梨虎象	chao xian li hu xiang
朝鲜梨实叶蜂	chao xian li shi ye feng
朝鲜梨圆蚧跳小蜂	chao xian li yuan jie tiao xiao feng
朝鲜联赛	chao xian lian sai
朝鲜料	chao xian liao
朝鲜料理	chao xian liao li
朝鲜蓼	chao xian liao
朝鲜蟧蝉	chao xian liao chan
朝鲜蟧蝉黑背亚种	chao xian liao chan hei bei ya zhong
朝鲜鳞斑叶甲	chao xian lin ban ye jia
朝鲜六道木	chao xian liu dao mu
朝鲜柳	chao xian liu
朝鲜瘤蛎蚧	chao xian liu li jie
朝鲜龙胆	chao xian long dan
朝鲜龙牙草	chao xian long ya cao
朝鲜卵跳甲	chao xian luan tiao jia
朝鲜落新妇	chao xian luo xin fu
朝鲜绿姬蜂	chao xian lv ji feng
朝鲜马尔他钩虾	chao xian ma er ta gou xia
朝鲜马鲛	chao xian ma jiao
朝鲜麻虻	chao xian ma meng
朝鲜麦瓶草	chao xian mai ping cao
朝鲜毛蚜	chao xian mao ya
朝鲜美女三剑客	chao xian mei nv san jian ke
朝鲜虻	chao xian meng
朝鲜面	chao xian mian
朝鲜民俗村	chao xian min su cun
朝鲜民主主义人民共和国法院组织	chao xian min zhu zhu yi ren min gong he guo fa yuan zu zhi
朝鲜民主主义人民共和国检察院组织	chao xian min zhu zhu yi ren min gong he guo jian cha yuan zu zhi
朝鲜民族医院	chao xian min zu yi yuan
朝鲜民族中学	chao xian min zu zhong xue
朝鲜名侦探	chao xian ming zhen tan
朝鲜魔术师	chao xian mo shu shi
朝鲜木姜子	chao xian mu jiang zi
朝鲜牡蛎蚧	chao xian mu li jie
朝鲜男人在韩国	chao xian nan ren zai han guo
朝鲜内江游船天逸码头	chao xian nei jiang you chuan tian yi ma tou
朝鲜拟鲿	chao xian ni chang
朝鲜拟粉蝇	chao xian ni fen ying
朝鲜拟伊蛛	chao xian ni yi zhu
朝鲜奴隶	chao xian nu li
朝鲜鳑鲏	chao xian pang pi
朝鲜泡菜	chao xian pao cai
朝鲜陪丽蝇	chao xian pei li ying
朝鲜魮	chao xian pi
朝鲜平	chao xian ping
朝鲜平壤	chao xian ping rang
朝鲜平壤馆	chao xian ping rang guan
朝鲜平鲉	chao xian ping you
朝鲜婆婆纳	chao xian po po na
朝鲜婆鳃金龟	chao xian po sai jin gui
朝鲜蒲公英	chao xian pu gong ying
朝鲜钱王	chao xian qian wang
朝鲜峭腹蛛	chao xian qiao fu zhu
朝鲜球粉蚧	chao xian qiu fen jie
朝鲜球坚蚧	chao xian qiu jian jie
朝鲜球坚蚧花翅跳小蜂	chao xian qiu jian jie hua chi tiao xiao feng
朝鲜球坚蜡蚧	chao xian qiu jian la jie
朝鲜鳅鮀	chao xian qiu tuo
朝鲜去	chao xian qu
朝鲜人过年要狗命	chao xian ren guo nian yao gou ming
朝鲜人民革命军	chao xian ren min ge ming jun
朝鲜人民军	chao xian ren min jun
朝鲜人参	chao xian ren shen
朝鲜日绒金龟	chao xian ri rong jin gui
朝鲜绒金龟	chao xian rong jin gui
朝鲜三国时代	chao xian san guo shi dai
朝鲜三一运动	chao xian san yi yun dong
朝鲜色姬蜂	chao xian se ji feng
朝鲜沙蜂	chao xian sha feng
朝鲜山茱萸	chao xian shan zhu yu
朝鲜少鳞鳜	chao xian shao lin gui
朝鲜神剑	chao xian shen jian
朝鲜神枪手	chao xian shen qiang shou
朝鲜史略	chao xian shi lue
朝鲜束盲蝽	chao xian shu mang chun
朝鲜树	chao xian shu
朝鲜梳灰蝶	chao xian shu hui die
朝鲜鼠李	chao xian shu li
朝鲜薹草	chao xian tai cao
朝鲜唐松草	chao xian tang song cao
朝鲜天南星	chao xian tian nan xing
朝鲜跳甲	chao xian tiao jia
朝鲜跳蛛	chao xian tiao zhu
朝鲜铁线莲	chao xian tie xian lian
朝鲜停战协定	chao xian ting zhan xie ding
朝鲜通史	chao xian tong shi
朝鲜土胡蜂	chao xian tu hu feng
朝鲜突腹蛛	chao xian tu fu zhu
朝鲜屯	chao xian tun
朝鲜卫木姬蜂	chao xian wei mu ji feng
朝鲜猬草	chao xian wei cao
朝鲜文	chao xian wen
朝鲜无翅蝗	chao xian wu chi huang
朝鲜舞	chao xian wu
朝鲜习影记	chao xian xi ying ji
朝鲜细棘鰕虎鱼	chao xian xi ji xia hu yu
朝鲜狭摇蚊	chao xian xia yao wen
朝鲜线尺蛾	chao xian xian chi e
朝鲜小鳔鮈	chao xian xiao biao ju
朝鲜小菜	chao xian xiao cai
朝鲜小室姬蜂	chao xian xiao shi ji feng
朝鲜小学	chao xian xiao xue
朝鲜斜棘	chao xian xie ji
朝鲜新林舟蛾	chao xian xin lin zhou e
朝鲜新蹄盖蕨	chao xian xin ti gai jue
朝鲜兴凯银鮈	chao xian xing kai yin ju
朝鲜萱草	chao xian xuan cao
朝鲜亚寰螽	chao xian ya huan zhong
朝鲜崖柏	chao xian ya bai
朝鲜崖柏仁	chao xian ya bai ren
朝鲜鳐	chao xian yao
朝鲜叶脊盾脸姬蜂	chao xian ye ji dun lian ji feng
朝鲜一枝黄花	chao xian yi zhi huang hua
朝鲜一中	chao xian yi zhong
朝鲜伊蚊	chao xian yi wen
朝鲜异足姬蜂	chao xian yi zu ji feng
朝鲜淫羊藿	chao xian yin yang huo
朝鲜隐头叶甲	chao xian yin tou ye jia
朝鲜硬皮地星	chao xian ying pi di xing
朝鲜蝇子草	chao xian ying zi cao
朝鲜羽蛛	chao xian yu zhu
朝鲜语	chao xian yu
朝鲜鱊	chao xian yu
朝鲜鱼鳞松	chao xian yu lin song
朝鲜圆颚切叶蚁	chao xian yuan e qie ye yi
朝鲜圆皮蠹	chao xian yuan pi du
朝鲜鸢尾	chao xian yuan wei
朝鲜越桔	chao xian yue ju
朝鲜杂盲蝽	chao xian za mang chun
朝鲜战场	chao xian zhan chang
朝鲜战争	chao xian zhan zheng
朝鲜沼摇蚊	chao xian zhao yao wen
朝鲜侦探丁若镛	chao xian zhen tan ding ruo yong
朝鲜之佛教	chao xian zhi fo jiao
朝鲜志	chao xian zhi
朝鲜栀子花	chao xian zhi zi hua
朝鲜直脉蝇	chao xian zhi mai ying
朝鲜直头猎蝽	chao xian zhi tou lie chun
朝鲜中学	chao xian zhong xue
朝鲜中央电视台	chao xian zhong yang dian shi tai
朝鲜肿跗姬蜂	chao xian zhong fu ji feng
朝鲜竹粉蚧	chao xian zhu fen jie
朝鲜镯蝽	chao xian zhuo chun
朝鲜紫椴	chao xian zi duan
朝鲜紫姬蜂	chao xian zi ji feng
朝鲜族	chao xian zu
朝鲜族百货大楼	chao xian zu bai huo da lou
朝鲜族沉藏泡菜	chao xian zu chen cang pao cai
朝鲜族村	chao xian zu cun
朝鲜族饭店	chao xian zu fan dian
朝鲜族风情	chao xian zu feng qing
朝鲜族服装	chao xian zu fu zhuang
朝鲜族冷面店	chao xian zu leng mian dian
朝鲜族民俗村	chao xian zu min su cun
朝鲜族民俗风情园	chao xian zu min su feng qing yuan
朝鲜族实验小学	chao xian zu shi yan xiao xue
朝鲜族小学	chao xian zu xiao xue
朝鲜族小学校	chao xian zu xiao xue xiao
朝鲜族学校	chao xian zu xue xiao
朝鲜族幼儿园	chao xian zu you er yuan
朝鲜族中	chao xian zu zhong
朝鲜族中学	chao xian zu zhong xue
朝鲜族中学风味	chao xian zu zhong xue feng wei
朝享	chao xiang
朝向	chao xiang
朝向公卿说	chao xiang gong qing shuo
朝向好	chao xiang hao
朝向镜头	chao xiang jing tou
朝向迷宫的入口巨神像之怒	chao xiang mi gong de ru kou ju shen xiang zhi nu
朝向修正率	chao xiang xiu zheng lv
朝向一面	chao xiang yi mian
朝翔路	chao xiang lu
朝飨	chao xiang
朝香	chao xiang
朝香餐	chao xiang can
朝香餐饮	chao xiang can yin
朝香果林	chao xiang guo lin
朝香玲美	chao xiang ling mei
朝香美穗	chao xiang mei sui
朝香烧	chao xiang shao
朝香烧烤	chao xiang shao kao
朝香小径	chao xiang xiao jing
朝香镇	chao xiang zhen
朝小	chao xiao
朝笑片时暮成泣	chao xiao pian shi mu cheng qi
朝携兰省步	chao xie lan sheng bu
朝携月光子	chao xie yue guang zi
朝信	chao xin
朝信良卷舒	chao xin liang juan shu
朝新	chao xin
朝新村	chao xin cun
朝新嘉园	chao xin jia yuan
朝新楼	chao xin lou
朝新暮敝	chao xin mu bi
朝辛路	chao xin lu
朝兴	chao xing
朝兴金融有限公司	chao xing jin rong you xian gong si
朝兴银行	chao xing yin hang
朝星	chao xing
朝星路口	chao xing lu kou
朝星袍	chao xing pao
朝興村	chao xing cun
朝行巴水云	chao xing ba shui yun
朝行逼鱼龙	chao xing bi yu long
朝行出攻	chao xing chu gong
朝行楚水阴	chao xing chu shui yin
朝行敷水上	chao xing fu shui shang
朝行共长叹	chao xing gong chang tan
朝行九衢不得意	chao xing jiu qu bu de yi
朝行筠溪边	chao xing jun xi bian
朝行青泥上	chao xing qing ni shang
朝行犀浦催收芋	chao xing xi pu cui shou yu
朝行曳杖青牛岭	chao xing ye zhang qing niu ling
朝行云满车	chao xing yun man che
朝熊	chao xiong
朝熊日	chao xiong ri
朝熊日本	chao xiong ri ben
朝熊日本料理	chao xiong ri ben liao li
朝秀	chao xiu
朝旭	chao xu
朝旭村	chao xu cun
朝旭对晚曛	chao xu dui wan xun
朝旭路	chao xu lu
朝旭射芳甸	chao xu she fang dian
朝旭炙阳火尖枪	chao xu zhi yang huo jian qiang
朝须汝作梅	chao xu ru zuo mei
朝喧弦管	chao xuan xian guan
朝暄暮复寒	chao xuan mu fu han
朝选吴公守	chao xuan wu gong shou
朝雪那相妒	chao xue na xiang du
朝靴	chao xue
朝勋	chao xun
朝寻麦陇去	chao xun mai long qu
朝寻霞外寺	chao xun xia wai si
朝衙	chao ya
朝衙复晚衙	chao ya fu wan ya
朝宴方陪厕	chao yan fang pei ce
朝岩	chao yan
朝岩咀头	chao yan ju tou
朝掩祭遵公	chao yan ji zun gong
朝沿霸水穷	chao yan ba shui qiong
朝烟	chao yan
朝烟不起灶	chao yan bu qi zao
朝烟今天唱歌了没	chao yan jin tian chang ge le mei
朝烟烹白鳞	chao yan peng bai lin
朝燕暮荆蛮	chao yan mu jing man
朝燕松香厂	chao yan song xiang chang
朝燕咏无事	chao yan yong wu shi
朝艳蔼霏霏	chao yan ai fei fei
朝顔牵牛花	chao yan qian niu hua
朝颜吹雨	chao yan chui yu
朝仰	chao yang
朝洋	chao yang
朝洋路	chao yang lu
朝阳	chao yang
朝阳庵	chao yang an
朝阳庵社区	chao yang an she qu
朝阳半壁店	chao yang ban bi dian
朝阳半荡漾	chao yang ban dang yang
朝阳北路	chao yang bei lu
朝阳北塔	chao yang bei ta
朝阳不闻皂盖下	chao yang bu wen zao gai xia
朝阳厂	chao yang chang
朝阳出帝台	chao yang chu di tai
朝阳川镇	chao yang chuan zhen
朝阳村	chao yang cun
朝阳丹凤	chao yang dan feng
朝阳的	chao yang de
朝阳地镇	chao yang di zhen
朝阳第二制药厂	chao yang di er zhi yao chang
朝阳叠浪东	chao yang die lang dong
朝阳东路口	chao yang dong lu kou
朝阳洞	chao yang dong
朝阳洞口寒泉清	chao yang dong kou han quan qing
朝阳洞乡	chao yang dong xiang
朝阳法院	chao yang fa yuan
朝阳纺织厂汽车维修部	chao yang fang zhi chang qi che wei xiu bu
朝阳分社	chao yang fen she
朝阳峰	chao yang feng
朝阳峰南	chao yang feng nan
朝阳复照临	chao yang fu zhao lin
朝阳港	chao yang gang
朝阳格	chao yang ge
朝阳歌	chao yang ge
朝阳公司	chao yang gong si
朝阳公寓	chao yang gong yu
朝阳公园	chao yang gong yuan
朝阳公园北门	chao yang gong yuan bei men
朝阳公园出口	chao yang gong yuan chu kou
朝阳公园东门	chao yang gong yuan dong men
朝阳公园滑雪场	chao yang gong yuan hua xue chang
朝阳公园路	chao yang gong yuan lu
朝阳公园庙会	chao yang gong yuan miao hui
朝阳公园桥	chao yang gong yuan qiao
朝阳公园桥北	chao yang gong yuan qiao bei
朝阳公园桥东	chao yang gong yuan qiao dong
朝阳公园桥南	chao yang gong yuan qiao nan
朝阳公园桥西	chao yang gong yuan qiao xi
朝阳公园沙滩排球场	chao yang gong yuan sha tan pai qiu chang
朝阳公园社区	chao yang gong yuan she qu
朝阳公园西门	chao yang gong yuan xi men
朝阳公园亚布洛尼滑雪场	chao yang gong yuan ya bu luo ni hua xue chang
朝阳公园勇敢者乐园	chao yang gong yuan yong gan zhe le yuan
朝阳沟	chao yang gou
朝阳沟村	chao yang gou cun
朝阳沟东	chao yang gou dong
朝阳沟景区	chao yang gou jing qu
朝阳沟劳教所	chao yang gou lao jiao suo
朝阳沟里	chao yang gou li
朝阳沟屯	chao yang gou tun
朝阳沟镇	chao yang gou zhen
朝阳光明制药厂	chao yang guang ming zhi yao chang
朝阳广场	chao yang guang chang
朝阳广场站	chao yang guang chang zhan
朝阳河	chao yang he
朝阳河路	chao yang he lu
朝阳湖镇	chao yang hu zhen
朝阳胡同	chao yang hu tong
朝阳化学纤维总厂	chao yang hua xue xian wei zong chang
朝阳花	chao yang hua
朝阳花地	chao yang hua di
朝阳花地花园	chao yang hua di hua yuan
朝阳花地西	chao yang hua di xi
朝阳捷座	chao yang jie zuo
朝阳街	chao yang jie
朝阳街车站	chao yang jie che zhan
朝阳街道	chao yang jie dao
朝阳街二巷	chao yang jie er xiang
朝阳街国网四川大英县供电公司	chao yang jie guo wang si chuan da ying xian gong dian gong si
朝阳街街道	chao yang jie jie dao
朝阳街解放路十字	chao yang jie jie fang lu shi zi
朝阳街派出所	chao yang jie pai chu suo
朝阳街区	chao yang jie qu
朝阳街人民新村社区曙光北路号	chao yang jie ren min xin cun she qu shu guang bei lu hao
朝阳街商业城	chao yang jie shang ye cheng
朝阳街十字	chao yang jie shi zi
朝阳街小区	chao yang jie xiao qu
朝阳街小学	chao yang jie xiao xue
朝阳街一巷	chao yang jie yi xiang
朝阳经营所	chao yang jing ying suo
朝阳开发区	chao yang kai fa qu
朝阳丽帝城	chao yang li di cheng
朝阳丽秋水	chao yang li qiu shui
朝阳林场	chao yang lin chang
朝阳凌桥制药有限公司	chao yang ling qiao zhi yao you xian gong si
朝阳龙城精细皮革厂	chao yang long cheng jing xi pi ge chang
朝阳楼	chao yang lou
朝阳路	chao yang lu
朝阳路长江路	chao yang lu chang jiang lu
朝阳路大街十字	chao yang lu da jie shi zi
朝阳路大桥	chao yang lu da qiao
朝阳路地道桥	chao yang lu di dao qiao
朝阳路东	chao yang lu dong
朝阳路高井	chao yang lu gao jing
朝阳路号院	chao yang lu hao yuan
朝阳路号院矿务院	chao yang lu hao yuan kuang wu yuan
朝阳路街道	chao yang lu jie dao
朝阳路口	chao yang lu kou
朝阳路兰花小区	chao yang lu lan hua xiao qu
朝阳路三间房	chao yang lu san jian fang
朝阳路上	chao yang lu shang
朝阳路社区	chao yang lu she qu
朝阳路十字	chao yang lu shi zi
朝阳路市场	chao yang lu shi chang
朝阳路尾	chao yang lu wei
朝阳路西	chao yang lu xi
朝阳路西口	chao yang lu xi kou
朝阳路小学	chao yang lu xiao xue
朝阳路朝阳	chao yang lu zhao yang
朝阳路中	chao yang lu zhong
朝阳路珠江路	chao yang lu zhu jiang lu
朝阳毛衫厂	chao yang mao shan chang
朝阳毛衫总厂	chao yang mao shan zong chang
朝阳门	chao yang men
朝阳门北	chao yang men bei
朝阳门村	chao yang men cun
朝阳门大厦	chao yang men da sha
朝阳门街道	chao yang men jie dao
朝阳门了	chao yang men le
朝阳门路	chao yang men lu
朝阳门南	chao yang men nan
朝阳门内	chao yang men nei
朝阳门派出所	chao yang men pai chu suo
朝阳门桥	chao yang men qiao
朝阳门少年之家	chao yang men shao nian zhi jia
朝阳门外	chao yang men wai
朝阳门外大街	chao yang men wai da jie
朝阳门外街道	chao yang men wai jie dao
朝阳门站	chao yang men zhan
朝阳门诊部	chao yang men zhen bu
朝阳棉麻公司	chao yang mian ma gong si
朝阳明宅	chao yang ming zhai
朝阳鸣凤	chao yang ming feng
朝阳农场	chao yang nong chang
朝阳农场居委会	chao yang nong chang ju wei hui
朝阳辟帝阍	chao yang pi di hun
朝阳坡镇	chao yang po zhen
朝阳桥街道	chao yang qiao jie dao
朝阳桥毛背沱	chao yang qiao mao bei tuo
