自动提额	zi dong ti e
左左中	zuo zuo zhong
左左中右	zuo zuo zhong you
左左中中	zuo zuo zhong zhong
左左中左	zuo zuo zhong zuo
左左猪	zuo zuo zhu
左左左	zuo zuo zuo
左左左右	zuo zuo zuo you
左左左中	zuo zuo zuo zhong
左左左左	zuo zuo zuo zuo
左座椅	zuo zuo yi
座	zuo
座巴	zuo ba
座摆	zuo bai
座板	zuo ban
座包	zuo bao
座包海绵	zuo bao hai mian
座包套	zuo bao tao
座包铁片	zuo bao tie pian
座背	zuo bei
座便	zuo bian
座便盖	zuo bian gai
座便器	zuo bian qi
座便套	zuo bian tao
座边	zuo bian
座边松影疏疏	zuo bian song ying shu shu
座标	zuo biao
座标方位仪	zuo biao fang wei yi
座标网	zuo biao wang
座标系	zuo biao xi
座标轴	zuo biao zhou
座别	zuo bie
座宾尽欢恣谈谑	zuo bin jin huan zi tan xue
座不冷秘法	zuo bu leng mi fa
座参殊俗语	zuo can shu su yu
座舱	zuo cang
座舱通话记录器	zuo cang tong hua ji lu qi
座舱压力控制器	zuo cang ya li kong zhi qi
座舱罩	zuo cang zhao
座厕及配件	zuo ce ji pei jian
座查	zuo cha
座车	zuo che
座充	zuo chong
座冲	zuo chong
座次	zuo ci
座次表	zuo ci biao
座从歌妓密	zuo cong ge ji mi
座大堂公用电话	zuo da tang gong yong dian hua
座带	zuo dai
座带铁片	zuo dai tie pian
座担菌科	zuo dan jun ke
座凳	zuo deng
座凳子	zuo deng zi
座灯	zuo deng
座灯盘	zuo deng pan
座地	zuo di
座地小野百合	zuo di xiao ye bai he
座底槽板	zuo di cao ban
座垫	zuo dian
座电梯机房	zuo dian ti ji fang
座垌村	zuo dong cun
座斗	zuo dou
座对龛	zuo dui kan
座对贤人酒	zuo dui xian ren jiu
座儿	zuo er
座阀	zuo fa
座阀配流泵	zuo fa pei liu beng
座房	zuo fang
座非陈子惊	zuo fei chen zi jing
座封	zuo feng
座拂金壶电	zuo fu jin hu dian
座敷	zuo fu
座敷童子	zuo fu tong zi
座芙	zuo fu
座芙飞龙	zuo fu fei long
座盖	zuo gai
座杆	zuo gan
座阁楼	zuo ge lou
座隔孢属	zuo ge bao shu
座弓	zuo gong
座沟	zuo gou
座古方锁	zuo gu fang suo
座古锁	zuo gu suo
座古锁架	zuo gu suo jia
座古线	zuo gu xian
座挂架	zuo gua jia
座管	zuo guan
座管夹	zuo guan jia
座光	zuo guang
座光寺为时	zuo guang si wei shi
座光寺知幸	zuo guang si zhi xing
座柜	zuo gui
座果	zuo guo
座果磷	zuo guo lin
座号	zuo hao
座号单	zuo hao dan
座河	zuo he
座河堰村	zuo he yan cun
座花塘村	zuo hua tang cun
座花针茅	zuo hua zhen mao
座环	zuo huan
座基	zuo ji
座机	zuo ji
座机电话费	zuo ji dian hua fei
座机号码	zuo ji hao ma
座机们	zuo ji men
座机磨合	zuo ji mo he
座机杂光	zuo ji za guang
座架	zuo jia
座架式相机	zuo jia shi xiang ji
座架装配	zuo jia zhuang pei
座驾	zuo jia
座坚壳	zuo jian ke
座坚壳属	zuo jian ke shu
座浆	zuo jiang
座浆法	zuo jiang fa
座浆料	zuo jiang liao
座脚村	zuo jiao cun
座角	zuo jiao
座卷流黄簟	zuo juan liu huang dian
座绝众宾语	zuo jue zhong bin yu
座壳孢	zuo ke bao
座壳孢属	zuo ke bao shu
座壳霉属	zuo ke mei shu
座客	zuo ke
座客车	zuo ke che
座客三千人	zuo ke san qian ren
座客三千人于今知有谁	zuo ke san qian ren yu jin zhi you shui
座客同分小凤团	zuo ke tong fen xiao feng tuan
座客无俗心	zuo ke wu su xin
座客无毡醉不知	zuo ke wu zhan zui bu zhi
座客香貂满	zuo ke xiang diao man
座客亦裴回	zuo ke yi pei hui
座口	zuo kou
座腊	zuo la
座揽清辉万川月	zuo lan qing hui wan chuan yue
座狼	zuo lang
座狼斥候	zuo lang chi hou
座狼宠物	zuo lang chong wu
座狼宠物蛋	zuo lang chong wu dan
座狼的毛皮	zuo lang de mao pi
座狼雕塑	zuo lang diao su
座狼护臂	zuo lang hu bi
座狼利齿坠饰	zuo lang li chi zhui shi
座狼笼	zuo lang long
座狼毛皮短裤	zuo lang mao pi duan ku
座狼皮护肩	zuo lang pi hu jian
座狼皮箭袋	zuo lang pi jian dai
座狼杀手肩甲	zuo lang sha shou jian jia
座狼杀手指环	zuo lang sha shou zhi huan
座狼神龛	zuo lang shen kan
座狼伪装	zuo lang wei zhuang
座狼血液药剂	zuo lang xue ye yao ji
座狼腰肉	zuo lang yao rou
座狼幼崽	zuo lang you zai
座狼之年	zuo lang zhi nian
座狼主	zuo lang zhu
座狼主宰的头颅	zuo lang zhu zai de tou lu
座狼主宰卡鲁什	zuo lang zhu zai ka lu shen
座梁	zuo liang
座林	zuo lin
座龙缓速	zuo long huan su
座龙饲料	zuo long si liao
座龙袭击	zuo long xi ji
座洛	zuo luo
座罗	zuo luo
座落	zuo luo
座密千官盛	zuo mi qian guan sheng
座面床头柜	zuo mian chuang tou gui
座面单摇床及垫	zuo mian dan yao chuang ji dian
座母山	zuo mu shan
座纳薰风细	zuo na xun feng xi
座囊	zuo nang
座囊菌	zuo nang jun
座囊菌纲	zuo nang jun gang
座囊菌科	zuo nang jun ke
座囊菌目	zuo nang jun mu
座囊菌属	zuo nang jun shu
座内若严冬	zuo nei ruo yan dong
座鸟	zuo niao
座牌	zuo pai
座盘	zuo pan
座盘孢	zuo pan bao
座盘孢属	zuo pan bao shu
座盘菌	zuo pan jun
座盘菌属	zuo pan jun shu
座盘衣属	zuo pan yi shu
座盘芝麻粒衣	zuo pan zhi ma li yi
座配五天帝	zuo pei wu tian di
座棚	zuo peng
座皮	zuo pi
座屏	zuo ping
座瓶壳	zuo ping ke
座普	zuo pu
座旗八	zuo qi ba
座旗九	zuo qi jiu
座旗六	zuo qi liu
座旗七	zuo qi qi
座旗三	zuo qi san
座旗四	zuo qi si
座旗五	zuo qi wu
座旗一	zuo qi yi
座骑	zuo qi
座骑禁锢	zuo qi jin gu
座前	zuo qian
座腔半壳菌	zuo qiang ban ke jun
座桥	zuo qiao
座桥湖	zuo qiao hu
座穷	zuo qiong
座球菌	zuo qiu jun
座圈	zuo quan
座入山光迥	zuo ru shan guang jiong
座沙	zuo sha
座山	zuo shan
座山村	zuo shan cun
座山雕	zuo shan diao
座山雕可拆	zuo shan diao ke chai
座山雕可拆卸	zuo shan diao ke chai xie
座山雕可拆卸貉子毛皮草	zuo shan diao ke chai xie hao zi mao pi cao
座山雕可拆卸毛皮大衣	zuo shan diao ke chai xie mao pi da yi
座山雕外套男	zuo shan diao wai tao nan
座山雕外套男貂毛	zuo shan diao wai tao nan diao mao
座山雕外套女	zuo shan diao wai tao nv
座山岭	zuo shan ling
座上宾	zuo shang bin
座上不容人俗话	zuo shang bu rong ren su hua
座上复借韵送岢岚军通判叶朝奉	zuo shang fu jie yun song ke lan jun tong pan ye chao feng
座上赋戴花得天字	zuo shang fu dai hua de tian zi
座上借韵送岢岚军通判叶朝奉	zuo shang jie yun song ke lan jun tong pan ye chao feng
座上客	zuo shang ke
座上客常满	zuo shang ke chang man
座上留赠	zuo shang liu zeng
座上满斟三雅爵	zuo shang man zhen san ya jue
座上琴心	zuo shang qin xin
座上去何迟	zuo shang qu he chi
座上相看泪如雨	zuo shang xiang kan lei ru yu
座上有撑子和心子	zuo shang you cheng zi he xin zi
座上赠卢判官	zuo shang zeng lu pan guan
座上真人赤龙子	zuo shang zhen ren chi long zi
座上珠玑昭日月	zuo shang zhu ji zhao ri yue
座上座	zuo shang zuo
座舌莲花	zuo she lian hua
座师	zuo shi
座湿秦山雨	zuo shi qin shan yu
座石	zuo shi
座寺岭	zuo si ling
座寺岭南	zuo si ling nan
座锁总	zuo suo zong
座坦	zuo tan
座谈	zuo tan
座谈会	zuo tan hui
座谈什么	zuo tan shen me
座谈座谈	zuo tan zuo tan
座塘	zuo tang
座汤	zuo tang
座套	zuo tao
座天使高达	zuo tian shi gao da
座天使之袍	zuo tian shi zhi pao
座条子	zuo tiao zi
座桶	zuo tong
座头	zuo tou
座头鲸	zuo tou jing
座头市	zuo tou shi
座头市地狱旅	zuo tou shi di yu lv
座头市二段斩	zuo tou shi er duan zhan
座头市逆手斩	zuo tou shi ni shou zhan
座头市物语	zuo tou shi wu yu
座头市凶状旅	zuo tou shi xiong zhuang lv
座头市喧哗太鼓	zuo tou shi xuan hua tai gu
座头市血笑旅	zuo tou shi xue xiao lv
座头市血烟街道	zuo tou shi xue yan jie dao
座头市与独臂刀	zuo tou shi yu du bi dao
座头市与用心棒	zuo tou shi yu yong xin bang
座头市战帖	zuo tou shi zhan tie
座瓦	zuo wa
座晚更披莲	zuo wan geng pi lian
座忘	zuo wang
座位	zuo wei
座位榜	zuo wei bang
座位卡	zuo wei ka
座位没	zuo wei mei
座位牌	zuo wei pai
座位上	zuo wei shang
座位套	zuo wei tao
座屋	zuo wu
座无空席	zuo wu kong xi
座无虚席	zuo wu xu xi
座席	zuo xi
座席调度	zuo xi diao du
座席话务量	zuo xi hua wu liang
座席绩效	zuo xi ji xiao
座席接续条	zuo xi jie xu tiao
座席权值	zuo xi quan zhi
座席容量	zuo xi rong liang
座席网关	zuo xi wang guan
座席位置图	zuo xi wei zhi tu
座席置忙	zuo xi zhi mang
座席状态	zuo xi zhuang tai
座下	zuo xia
座箱	zuo xiang
座销	zuo xiao
座鑫宾馆	zuo xin bin guan
座岩	zuo yan
座岩下	zuo yan xia
座椅	zuo yi
座椅安全带扣	zuo yi an quan dai kou
座椅拆装	zuo yi chai zhuang
座椅厂	zuo yi chang
座椅导轨	zuo yi dao gui
座椅底座	zuo yi di zuo
座椅垫	zuo yi dian
座椅缝隙	zuo yi feng xi
座椅扶手	zuo yi fu shou
座椅横梁	zuo yi heng liang
座椅簧	zuo yi huang
座椅及附件	zuo yi ji fu jian
座椅加热	zuo yi jia re
座椅减震器	zuo yi jian zhen qi
座椅靠背	zuo yi kao bei
座椅没有任何	zuo yi mei you ren he
座椅气控阀	zuo yi qi kong fa
座椅气囊	zuo yi qi nang
座椅前后位置调节机构	zuo yi qian hou wei zhi tiao jie ji gou
座椅前后位置调节手柄	zuo yi qian hou wei zhi tiao jie shou bing
座椅区	zuo yi qu
座椅数据	zuo yi shu ju
座椅弹簧	zuo yi tan huang
座椅调节开关	zuo yi tiao jie kai guan
座椅调控机构	zuo yi tiao kong ji gou
座椅调压阀	zuo yi tiao ya fa
座椅调整器	zuo yi tiao zheng qi
座椅头枕	zuo yi tou zhen
座椅行程	zuo yi xing cheng
座椅自动调节系统	zuo yi zi dong tiao jie xi tong
座椅总成	zuo yi zong cheng
座移山色在	zuo yi shan se zai
座引中厨馔	zuo yin zhong chu zhuan
座右寒飙爽	zuo you han biao shuang
座右铭	zuo you ming
座右千年荫古松	zuo you qian nian yin gu song
座右千年荫老松	zuo you qian nian yin lao song
座右任他铭	zuo you ren ta ming
座有丽人色俱素	zuo you li ren se ju su
座于	zuo yu
座隅泉出洞	zuo yu quan chu dong
座元	zuo yuan
座枝孢	zuo zhi bao
座中灯泛酒	zuo zhong deng fan jiu
座中冠已峨	zuo zhong guan yi e
座中豪贵满	zuo zhong hao gui man
座中皆是王侯客	zuo zhong jie shi wang hou ke
座中尽群彦	zuo zhong jin qun yan
座中令酒舫	zuo zhong ling jiu fang
座中流泪听商声	zuo zhong liu lei ting shang sheng
座中泣下谁最多	zuo zhong qi xia shui zui duo
座中泣下谁最多江州司马春衫湿	zuo zhong qi xia shui zui duo jiang zhou si ma chun shan shi
座中泣下谁最多江州司马青衫湿	zuo zhong qi xia shui zui duo jiang zhou si ma qing shan shi
座中琼玉润	zuo zhong qiong yu run
座中人半醉	zuo zhong ren ban zui
座中殊未起	zuo zhong shu wei qi
座中为我奏此曲	zuo zhong wei wo zou ci qu
座中戏呈诸少年	zuo zhong xi cheng zhu shao nian
座中行客酸离情	zuo zhong xing ke suan li qing
座中亦有燕赵士	zuo zhong yi you yan zhao shi
座中有眉山隐客史应之和前韵	zuo zhong you mei shan yin ke shi ying zhi he qian yun
座中有一远方士	zuo zhong you yi yuan fang shi
座中云气侵人湿	zuo zhong yun qi qin ren shi
座中争起劝我酒	zuo zhong zheng qi quan wo jiu
座中醉客不得意	zuo zhong zui ke bu de yi
座中醉客延醒客	zuo zhong zui ke yan xing ke
座钟	zuo zhong
座主	zuo zhu
座主门生四十年	zuo zhu men sheng si shi nian
座砖	zuo zhuan
座庄	zuo zhuang
座子	zuo zi
座总站	zuo zong zhan
座钻	zuo zuan
座座吉祥	zuo zuo ji xiang
座座壳	zuo zuo ke
怍非夔龙佐	zuo fei kui long zuo
怍么	zuo me
撮子	zuo zi
昨报西师奏凯还	zuo bao xi shi zou kai hai
昨别今已春	zuo bie jin yi chun
昨别今已春鬓丝生几缕	zuo bie jin yi chun bin si sheng ji lv
昨不醒	zuo bu xing
昨朝拜表回	zuo chao bai biao hui
昨朝持入库	zuo chao chi ru ku
昨朝门前地寸裂	zuo chao men qian di cun lie
昨朝南船满崖海	zuo chao nan chuan man ya hai
昨朝哨马到江头	zuo chao shao ma dao jiang tou
昨朝十骑来	zuo chao shi qi lai
昨朝为送行人早	zuo chao wei song xing ren zao
昨朝已千载	zuo chao yi qian zai
昨朝银花布	zuo chao yin hua bu
昨臣衔命出疆时	zuo chen xian ming chu jiang shi
昨承冯大爷示知老先生人品学问	zuo cheng feng da ye shi zhi lao xian sheng ren pin xue wen
昨承见教久阁笔	zuo cheng jian jiao jiu ge bi
昨迟人	zuo chi ren
昨重现	zuo chong xian
昨重现酒	zuo chong xian jiu
昨重现酒吧	zuo chong xian jiu ba
昨传征拜日	zuo chuan zheng bai ri
昨辞夫子棹归舟	zuo ci fu zi zhao gui zhou
昨辞天子棹归舟	zuo ci tian zi zhao gui zhou
昨从分陕山南口	zuo cong fen shan shan nan kou
昨从关东来	zuo cong guan dong lai
昨从汉中归	zuo cong han zhong gui
昨从金陵邑	zuo cong jin ling yi
昨存	zuo cun
昨当大风吹雪过	zuo dang da feng chui xue guo
昨当租吏来	zuo dang zu li lai
昨的	zuo de
昨登定林山	zuo deng ding lin shan
昨滴	zuo di
昨斗儿天	zuo dou er tian
昨二晚夕	zuo er wan xi
昨儿	zuo er
昨儿把螃蟹给了三爷了	zuo er ba pang xie gei le san ye le
昨儿宝丫头不替你圆谎	zuo er bao ya tou bu ti ni yuan huang
昨儿宝玉还说	zuo er bao yu hai shuo
昨儿不过老太太一时高兴	zuo er bu guo lao tai tai yi shi gao xing
昨儿单送了礼去了	zuo er dan song le li qu le
昨儿都好上来了	zuo er dou hao shang lai le
昨儿二爷说了	zuo er er ye shuo le
昨儿个	zuo er ge
昨儿哥哥倒特特的请我吃	zuo er ge ge dao te te de qing wo chi
昨儿贵妃差了夏太监出来	zuo er gui fei cha le xia tai jian chu lai
昨儿还不求婶娘	zuo er hai bu qiu shen niang
昨儿还打平儿呢	zuo er hai da ping er ne
昨儿唬得可怜	zuo er hu de ke lian
昨儿货物发完了	zuo er huo wu fa wan le
昨儿见了老太太正房	zuo er jian le lao tai tai zheng fang
昨儿见了元春所赐的东西	zuo er jian le yuan chun suo ci de dong xi
昨儿可告我不曾	zuo er ke gao wo bu ceng
昨儿老太太又说	zuo er lao tai tai you shuo
昨儿老太太只叫作灯谜	zuo er lao tai tai zhi jiao zuo deng mi
昨儿妙玉并没亲来	zuo er miao yu bing mei qin lai
昨儿拿出来	zuo er na chu lai
昨儿那么大雪	zuo er na me da xue
昨儿奶奶又打发彩哥儿赏东西	zuo er nai nai you da fa cai ge er shang dong xi
昨儿你叔叔才告诉我说你求他	zuo er ni shu shu cai gao su wo shuo ni qiu ta
昨儿你在人跟前作人	zuo er ni zai ren gen qian zuo ren
昨儿上头给亲戚家送粥米去	zuo er shang tou gei qin qi jia song zhou mi qu
昨儿是她摆弄了那坠子半日	zuo er shi ta bai nong le na zhui zi ban ri
昨儿睡着了	zuo er shui zhao le
昨儿谁的不是多	zuo er shui de bu shi duo
昨儿谁接下了一个帖子	zuo er shui jie xia le yi ge tie zi
昨儿他妹子各人抹了脖子了	zuo er ta mei zi ge ren mo le bo zi le
昨儿晚上	zuo er wan shang
昨儿晚上还提起婶子来	zuo er wan shang hai ti qi shen zi lai
昨儿晚上就说了	zuo er wan shang jiu shuo le
昨儿晚上我问了大夫	zuo er wan shang wo wen le dai fu
昨儿为什么我去了	zuo er wei shen me wo qu le
昨儿为什么又成了乌眼鸡呢	zuo er wei shen me you cheng le wu yan ji ne
昨儿我	zuo er wo
昨儿我从李子树下一走	zuo er wo cong li zi shu xia yi zou
昨儿我还为这个赌了几回咒	zuo er wo hai wei zhe ge du le ji hui zhou
昨儿我开库房	zuo er wo kai ku fang
昨儿我看你那药方上	zuo er wo kan ni na yao fang shang
昨儿我看人家一张春宫	zuo er wo kan ren jia yi zhang chun gong
昨儿我立逼着凤姐姐带了她去	zuo er wo li bi zhe feng jie jie dai le ta qu
昨儿我亲自经过	zuo er wo qin zi jing guo
昨儿我去了	zuo er wo qu le
昨儿我想起来	zuo er wo xiang qi lai
昨儿襄阳侯的兄弟老三来求我	zuo er xiang yang hou de xiong di lao san lai qiu wo
昨儿行酒令你说的是什么	zuo er xing jiu ling ni shuo de shi shen me
昨儿要送去	zuo er yao song qu
昨儿也得了	zuo er ye dei le
昨儿夜里好了	zuo er ye li hao le
昨儿夜里热闹非常	zuo er ye li re nao fei chang
昨儿已经给了人了	zuo er yi jing gei le ren le
昨儿因为你在这里	zuo er yin wei ni zai zhe li
昨儿又不知是哪个姑娘得罪了	zuo er you bu zhi shi na ge gu niang de zui le
昨儿又来寻我	zuo er you lai xun wo
昨儿有个什么芸儿来找二爷	zuo er you ge shen me yun er lai zhao er ye
昨儿玉钏姐姐说	zuo er yu chuan jie jie shuo
昨儿原是吃了酒	zuo er yuan shi chi le jiu
昨儿周太监来	zuo er zhou tai jian lai
昨发南都城	zuo fa nan du cheng
昨发委羽朝度关	zuo fa wei yu chao du guan
昨非	zuo fei
昨非今是	zuo fei jin shi
昨逢军人劫夺我	zuo feng jun ren jie duo wo
昨逢紫阳君	zuo feng zi yang jun
昨个	zuo ge
昨个下午	zuo ge xia wu
昨观荆岘作	zuo guan jing xian zuo
昨过骑驴尉	zuo guo qi lv wei
昨和	zuo he
昨黑	zuo hei
昨见春条绿	zuo jian chun tiao lv
昨见狄相孙	zuo jian di xiang sun
昨见黄州诗	zuo jian huang zhou shi
昨见双鱼去	zuo jian shuang yu qu
昨见襄阳客	zuo jian xiang yang ke
昨见忆山诗	zuo jian yi shan shi
昨解弓刀丞太仆	zuo jie gong dao cheng tai pu
昨就	zuo jiu
昨君握兵柄	zuo jun wo bing bing
昨看新图湖上宅	zuo kan xin tu hu shang zhai
昨来不肯听朝鸡	zuo lai bu ken ting zhao ji
昨来补卫士	zuo lai bu wei shi
昨来曾寄茗	zuo lai ceng ji ming
昨来禅榻寄曲肱	zuo lai chan ta ji qu gong
昨来承密诏	zuo lai cheng mi zhao
昨来愁此渡	zuo lai chou ci du
昨来窜荆蛮	zuo lai cuan jing man
昨来得京官	zuo lai de jing guan
昨来都下筠篮底	zuo lai dou xia jun lan di
昨来杜鹃劝归去	zuo lai du juan quan gui qu
昨来逢清霁	zuo lai feng qing ji
昨来风起花如雪	zuo lai feng qi hua ru xue
昨来风日较暄些	zuo lai feng ri jiao xuan xie
昨来谷口先相问	zuo lai gu kou xian xiang wen
昨来荷花满	zuo lai he hua man
昨来怀白璧	zuo lai huai bai bi
昨来家信稀	zuo lai jia xin xi
昨来节物殊	zuo lai jie wu shu
昨来九轨涂	zuo lai jiu gui tu
昨来立清班	zuo lai li qing ban
昨来楼上迎春处	zuo lai lou shang ying chun chu
昨来忙暮行里小	zuo lai mang mu hang li xiao
昨来频得远公书	zuo lai pin de yuan gong shu
昨来频梦见	zuo lai pin meng jian
昨来牵夫冻得泣	zuo lai qian fu dong de qi
昨来陕郊会	zuo lai shan jiao hui
昨来属欢游	zuo lai shu huan you
昨来谁得扫重门	zuo lai shui de sao zhong men
昨来谁是伴	zuo lai shui shi ban
昨来闻道半丘墟	zuo lai wen dao ban qiu xu
昨来闻更贫	zuo lai wen geng pin
昨来新拜右丞相	zuo lai xin bai you cheng xiang
昨来一夜惊风雨	zuo lai yi ye jing feng yu
昨来亦有吴趋咏	zuo lai yi you wu qu yong
昨来犹带冰霜颜	zuo lai you dai bing shuang yan
昨来遇弥苦	zuo lai yu mi ku
昨来朱颜子	zuo lai zhu yan zi
昨来恣吟绎	zuo lai zi yin yi
昨怜破袄寒	zuo lian po ao han
昨两天	zuo liang tian
昨临苏耽井	zuo lin su dan jing
昨满今渐稀	zuo man jin jian xi
昨么	zuo me
昨梦春冰释	zuo meng chun bing shi
昨梦芳洲采白蘋	zuo meng fang zhou cai bai pin
